Target,Feature,spearman_r,spearman_p
CO2_Qst_CC_mean,ligand_n_heavy,-0.02548600376773658,0.6920134287891335
CO2_Qst_CC_mean,ligand_n_aromatic_rings,0.02181564878857646,0.7345631727017152
CO2_Qst_CC_mean,ligand_n_carboxylate,-0.12816438201081318,0.045503856500486196
CO2_Qst_CC_mean,ligand_n_N_hetero,0.1280662375218977,0.045670877287885374
CO2_Qst_CC_mean,ligand_n_halogen,0.009064416188741844,0.8879753892079185
CO2_Qst_CC_mean,ligand_n_amino,-0.20260610064782136,0.001464544310742962
CO2_Qst_CC_mean,ligand_TPSA,-0.0697240450013864,0.2779869969189362
CO2_Qst_CC_mean,metal_Cu,-0.2444256957787008,0.00011473427010617648
CO2_Qst_CC_mean,metal_Mn,0.037816865267373996,0.5566025804160715
CO2_Qst_CC_mean,metal_Ni,-0.04121266541383207,0.5216988074837761
CO2_Qst_CC_mean,metal_Other,0.19036163290141572,0.002830010272670789
CO2_Qst_CC_mean,metal_Zn,-0.01595308368192107,0.8041875781736294
CO2_Qst_CC_mean,metal_Zr,-0.04781462896165715,0.457192078439558
CO2_Qst_CC_mean,topo_dia,0.07377256486726495,0.25096367864859903
CO2_Qst_CC_mean,topo_error,-0.06909062979395998,0.2823866847823846
CO2_Qst_CC_mean,topo_lim,0.021972246004493493,0.7327300318984098
CO2_Qst_CC_mean,topo_lvt,0.11661563825291262,0.068995429656916
CO2_Qst_CC_mean,topo_ntt,-0.2338858514092763,0.0002278898076975459
CO2_Qst_CC_mean,topo_pcu,-0.18372617262489174,0.003980399077907502
CO2_Qst_CC_mean,topo_pto,-0.2289631242524322,0.00031074302391976633
CO2_Qst_CC_mean,topo_pts,0.12708216093702576,0.04737411879995817
CO2_Qst_CC_mean,topo_tbo,0.008419271833497506,0.8959017059575917
CO2_Qst_CC_mean,topo_tsy,0.14866715313706344,0.02016542976157839
CO2_Qst_CC_1bar,LCD_A,-0.6091702497635363,3.5581275907516076e-26
CO2_Qst_CC_1bar,PLD_A,-0.5987765841005497,3.955945800906729e-25
CO2_Qst_CC_1bar,LFPD_A,-0.6042490374684749,1.125308057424535e-25
CO2_Qst_CC_1bar,LCD_PLD_ratio,-0.16221123543527916,0.011160342988893242
CO2_Qst_CC_1bar,pore_vol_cm3_g,0.5899615462456992,2.851303003337202e-24
CO2_Qst_CC_1bar,ASA_m2_cm3,-0.38745193280712403,3.6655931829106294e-10
CO2_Qst_CC_1bar,ASA_m2_g,-0.601105287287957,2.3238087180109007e-25
CO2_Qst_CC_1bar,NASA_m2_cm3,0.17090590071508874,0.007458655588162813
CO2_Qst_CC_1bar,NASA_m2_g,0.17047110153711226,0.007613814874794842
CO2_Qst_CC_1bar,void_fraction,-0.6855984107966463,3.194699148558261e-35
CO2_Qst_CC_1bar,accessible_pore_vol,-0.09885100305953086,0.12357328877451938
CO2_Qst_CC_1bar,has_oms,-0.23232952743105648,0.00025154283824258764
CO2_Qst_CC_1bar,density_g_cm3,0.5899615462456992,2.851303003337202e-24
CO2_Qst_CC_1bar,uc_volume_A3,-0.36087678708284787,6.439673447007182e-09
CO2_Qst_CC_1bar,C_mass_frac,-0.08007351301772875,0.21262944787061164
CO2_Qst_CC_1bar,N_mass_frac,-0.06775211970081296,0.29183755185217997
CO2_Qst_CC_1bar,O_mass_frac,0.03929029631082797,0.5413198108940716
CO2_Qst_CC_1bar,catenation,-0.036280889872832095,0.5727533339442641
CO2_Qst_CC_1bar,O_coord_ratio,-0.13288257337894258,0.03805696010493253
CO2_Qst_CC_1bar,shortest_MM_dist,0.0847053760173244,0.1872637134610293
CO2_Qst_CC_1bar,ligand_MW,-0.0400775531634846,0.5332404462266951
CO2_Qst_CC_1bar,ligand_LogP,-0.022466196569062926,0.7269577667393461
CO2_Qst_CC_1bar,ligand_n_heavy,-0.04885208252352164,0.44747633755044824
CO2_Qst_CC_1bar,ligand_n_aromatic_rings,0.011558940937759058,0.8574389205084714
CO2_Qst_CC_1bar,ligand_n_carboxylate,-0.13675799017520449,0.03273644103287911
CO2_Qst_CC_1bar,ligand_n_N_hetero,0.13391304133607046,0.036575440728816036
CO2_Qst_CC_1bar,ligand_n_halogen,0.004613227056000442,0.942847616830794
CO2_Qst_CC_1bar,ligand_n_amino,-0.23083049666631933,0.00027647113437511854
CO2_Qst_CC_1bar,ligand_TPSA,-0.08126376303481454,0.20588734122700098
CO2_Qst_CC_1bar,metal_Cu,-0.24073032057353064,0.00014645335345025374
CO2_Qst_CC_1bar,metal_Mn,0.02392494569542186,0.7100017340610234
CO2_Qst_CC_1bar,metal_Ni,-0.03750814067088717,0.559831028713172
CO2_Qst_CC_1bar,metal_Other,0.2102377140749802,0.0009526138391670061
CO2_Qst_CC_1bar,metal_Zn,-0.03005652205871813,0.6403621192447584
CO2_Qst_CC_1bar,metal_Zr,-0.04963611813481581,0.4402119074616434
CO2_Qst_CC_1bar,topo_dia,0.07560539239387956,0.23934948073800152
CO2_Qst_CC_1bar,topo_error,-0.05313948257750116,0.40858466493495116
CO2_Qst_CC_1bar,topo_lim,0.03306102939804994,0.6073090367373657
CO2_Qst_CC_1bar,topo_lvt,0.11409541033985462,0.07525798793361389
CO2_Qst_CC_1bar,topo_ntt,-0.24103129574986085,0.000143590888666959
CO2_Qst_CC_1bar,topo_pcu,-0.1711059335446077,0.007388224579294246
CO2_Qst_CC_1bar,topo_pto,-0.23060581375161537,0.0002803999609005985
CO2_Qst_CC_1bar,topo_pts,0.12737560061468223,0.046860766025895055
CO2_Qst_CC_1bar,topo_tbo,-0.033471725415417014,0.6028502820985324
CO2_Qst_CC_1bar,topo_tsy,0.13559745729402245,0.03425894254111652
log10_CO2N2_actual_selectivity,LCD_A,-0.6444249305407193,4.992616572510123e-30
log10_CO2N2_actual_selectivity,PLD_A,-0.6444645840025532,4.939790635732755e-30
log10_CO2N2_actual_selectivity,LFPD_A,-0.6401666526972517,1.5505279026397217e-29
log10_CO2N2_actual_selectivity,LCD_PLD_ratio,-0.13535502668601893,0.034584468455312045
log10_CO2N2_actual_selectivity,pore_vol_cm3_g,0.5910187394174695,2.25709829716203e-24
log10_CO2N2_actual_selectivity,ASA_m2_cm3,-0.3355781602497951,7.806196851917373e-08
log10_CO2N2_actual_selectivity,ASA_m2_g,-0.5752717714435212,6.724250334600342e-23
log10_CO2N2_actual_selectivity,NASA_m2_cm3,0.15502196778287433,0.01536091696128469
log10_CO2N2_actual_selectivity,NASA_m2_g,0.15452121838311395,0.01569932924167258
