Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
log10_CO2N2_Henry_selectivity,topo_pcu,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,topo_pto,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,topo_pts,0.00040901525,0.0006274496,0.605374717283109
log10_CO2N2_Henry_selectivity,topo_tbo,0.0007341744,0.0012961503,0.638395569133808
log10_CO2N2_Henry_selectivity,topo_tsy,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,LCD_A,0.003412255,0.005754869,0.6277725952985997
log10_PE_VSA_parasitic_energy,PLD_A,0.007403257,0.012514486,0.6283084283546799
log10_PE_VSA_parasitic_energy,LFPD_A,0.0066575883,0.007994991,0.5456371022046803
log10_PE_VSA_parasitic_energy,LCD_PLD_ratio,0.0005887186,0.0013506939,0.6964448831560934
log10_PE_VSA_parasitic_energy,pore_vol_cm3_g,0.005173204,0.0060776286,0.5401936510373314
log10_PE_VSA_parasitic_energy,ASA_m2_cm3,0.001432741,0.004110409,0.7415294445219937
log10_PE_VSA_parasitic_energy,ASA_m2_g,0.0043750205,0.006280476,0.5894118929787687
log10_PE_VSA_parasitic_energy,NASA_m2_cm3,0.00011107774,0.00023169236,0.6759409942894327
log10_PE_VSA_parasitic_energy,NASA_m2_g,0.00014587303,0.0002822723,0.6592908496832355
log10_PE_VSA_parasitic_energy,void_fraction,0.015579158,0.019014306,0.5496502734247072
log10_PE_VSA_parasitic_energy,accessible_pore_vol,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,has_oms,0.00015749242,0.0003486686,0.688849187555994
log10_PE_VSA_parasitic_energy,density_g_cm3,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,uc_volume_A3,0.0024948316,0.004972216,0.6658878254623869
log10_PE_VSA_parasitic_energy,C_mass_frac,0.00086090894,0.0018148266,0.6782533398171754
log10_PE_VSA_parasitic_energy,N_mass_frac,0.00034628477,0.00090557773,0.7233843432079474
log10_PE_VSA_parasitic_energy,O_mass_frac,0.0015406207,0.0032913834,0.6811631883639915
